name,permalink,perfect_match,schools,school_subjects,job_titles,founded_on,location,undisclosed_amount,fund 0,categories,fund 1,fund 2,fund 3,fund 4,fund 5,fund 6,fund 7,fund 8,fund 9,fund 10,fund 11,fund 12,fund 13,fund 14,fund 15,fund 16,fund 17,fund 18,fund 19,fund 20,fund 21,fund 22,fund 23,fund 24,fund 25,num_fund_rounds
Bellwether Coffee,bellwether-coffee,no,,,Head of Product Innovation,2013,"Berkeley, California",yes,2019:40000000,"Coffee, Commercial, Food and Beverage, Information Technology, Software",2018:10000000,2018:2175000,2016:6000000,0,,,,,,,,,,,,,,,,,,,,,,5
Berkeley Biolabs,berkeley-biolabs,no,"university-of-california-berkeley, the-university-of-edinburgh, university-of-cambridge, university-of-warwick, stanford-university-school-of-medicine","Project Management for Biopharmaceuticals, Center for Regenerative Medicine, Bioscience Enterprise, Biological Sciences","Chief executive officer, Partner, Senior Director - Life Sciences, Co-Founder, Program Director and Venture Partner, Board Member, CEO & Co-Founder, Co-founder and Partner, Program Director and Venture Partner, Co-Founder, Board Member, Mentor, Advisor, Board Member, Board Member",2013,"San Francisco, California",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Build & Imagine,build-imagine,no,,,Founder & CEO,2013,"Berkeley, California",yes,2015:1000000,"Consumer, Industrial, Toys",2014:275000,0,,,,,,,,,,,,,,,,,,,,,,,,3
Chirp Microsystems,chirp-microsystems,no,university-of-california-davis,Mechanical Engineering,Co-Founder,2013,"Berkeley, California",yes,2017:500000,"3D Technology, Consumer Electronics, Manufacturing, Sensor",0,2015:1000000,0,,,,,,,,,,,,,,,,,,,,,,,4
Cortera Neurotechnologies,cortera-neurotechnologies,no,"university-of-california-berkeley, massachusetts-institute-of-technology-mit","Electrical Engineering, Electrical Engineering","S. Shankar Sastry Assistant Professor in Emerging Technologies, Co-Founder & CTO, Co-Founder and Chair of the Board, Consultant, Investigator, Assistant Professor of Electrical Engineering and Computer Science",2013,"Berkeley, California",yes,0,"Health Care, Medical, Neuroscience",0,,,,,,,,,,,,,,,,,,,,,,,,,2
eko,interlude,no,ben-gurion-university-of-the-negev,unknown,Founder & CEO,2011,"New York, New York",no,2018:20000000,"Advertising, Broadcasting, Content Creators, Digital Media, Marketing, Music, News, Video, Video Advertising",2015:21200000,2013:16500000,2011:3250000,,,,,,,,,,,,,,,,,,,,,,,4
fido.ai,fido-labs,no,"amazon-web-services, university-of-east-london","AWS Certified Solutions Architect, Multimedia and New Technologies with Hons","Senior Web Developer, Senior Web Developer, CTO, VP of Engineering, Technical Director, CTO, Owner, VP of Engineering, Digital Engineering Manager",2013,"Berkeley, California",yes,0,"Artificial Intelligence, Communities, Natural Language Processing, Public Safety",2013:1599999,,,,,,,,,,,,,,,,,,,,,,,,,2
FindLight,findlight-2,no,university-of-california-irvine,unknown,"CEO, Sales Manager",2013,"Berkeley, California",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ipvive,ipvive-inc,no,university-of-california-davis,Managerial Economics,"Founder, Chairman, CEO, Founder, Strategy and Business Development, VP Business Development, Partner, Member/Owner",2013,"Berkeley, California",no,2015:115000,"Artificial Intelligence, Big Data, Internet of Things, Machine Learning",2014:550000,,,,,,,,,,,,,,,,,,,,,,,,,2
Levine Media Group,levine-media-group,no,,,,2013,"Berkeley, California",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Lioness,lioness,no,,,Co-founder & CEO,2013,"Berkeley, California",yes,0,"Apps, Consumer, Education, Health Care, Lifestyle, Sex Tech, Software, Women's",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5
Mapistry,mapistry,no,"university-of-maryland, tufts-university","Civil Engineering, Geology & Biology",COO & Founder,2013,"Berkeley, California",no,2020:1000000,"Industrial, Pollution Control, SaaS, Water",2018:2500000,2015:105000,2015:407000,2015:20000,,,,,,,,,,,,,,,,,,,,,,5
Monohm,monohm-inc,no,,,"Tech Manager, iAd, Founder & Chief Technology Officer, Founder & Chief Technology Officer, Chief Technology Officer, Software Engineer, VP/Engineering",2013,"Berkeley, California",yes,0,"Fashion, Hardware, Internet of Things, Lifestyle, Software",2014:488000,2014:480000,,,,,,,,,,,,,,,,,,,,,,,,3
Nolo Inc,nolo-inc,no,,,,2013,"Berkeley, California",no,2014:156000,"Android, Information Technology, Smart Building",,,,,,,,,,,,,,,,,,,,,,,,,,1
Persistent Efficiency,persistent-efficiency,no,,,"VP of Analysis, CFO & Co-Founder",2013,"Berkeley, California",no,2015:1100000,"Commercial, Energy, Renewable Energy",,,,,,,,,,,,,,,,,,,,,,,,,,1
Personal Justice,crowdlaw,no,university-of-florida,"Sociology, Business Administration","Co-Founder, Executive Director & Founder, Software Engineer",2013,"Berkeley, California",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
tally24,tally24,no,,,,2013,"Berkeley, California",yes,0,"E-Commerce, Enterprise Software, Information Services, Information Technology, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
Technical Machine,technical-machine,no,,,Co-Founder,2013,"Berkeley, California",yes,2013:1000000,"Developer Tools, Hardware, Internet of Things, Software",0,,,,,,,,,,,,,,,,,,,,,,,,,2
Thistle,thistle,no,"the-university-of-texas-at-austin, brown-university-2, princeton-university","Physical Geography, Geological and Earth Sciences/Geosciences, Program in Science, Technology, and Environmental Policy",COO,2013,"San Francisco, California",yes,2021:10300000,"Delivery Service, Food and Beverage, Health Care, Organic Food, Wellness",2020:5650000,0,2015:1000000,,,,,,,,,,,,,,,,,,,,,,,4
TransRobotics,transrobotics,no,,,,2013,"Berkeley, California",yes,0,Robotics,,,,,,,,,,,,,,,,,,,,,,,,,,1
