permalink+accelerator,permalink,cohort_year,accelerator,founders
airfordable@y combinator,airfordable,2016,y combinator,"Ama Marfo, Craig Henry, Emmanuel Buah"
airhelp@y combinator,airhelp,2014,y combinator,"Greg Roodt, Henrik Zillmer, Nicolas Michaelsen"
airmada@y combinator,airmada,2016,y combinator,"Boris Lipchin, Dan Danay"
airo-health@y combinator,airo-health,2016,y combinator,"Emmanuel DeVries, Naman Kumar"
airpair@y combinator,airpair,2014,y combinator,"Igor Lebovic, Jonathon Kresner, Maksim Ioffe"
airpost-io@TheAlchemistAccelerator,airpost-io,2013,TheAlchemistAccelerator,"Alam Karim, Navid Nathoo"
airware@y combinator,airware,2013,y combinator,Jonathan Downey
aisle50@y combinator,aisle50,2011,y combinator,"Christopher Steiner, Riley Scott"
aitoelabs@TheAlchemistAccelerator,aitoelabs,2017,TheAlchemistAccelerator,Anurag Sahoo
akido-labs@y combinator,akido-labs,2015,y combinator,"Hugh Gordon, Jared Goodner, Prashant Samant"
albert-2@500startups,albert-2,2016,500startups,"Andrzej Baraniak, Yinon Ravid"
alfred-artificial-intelligence-driven-concierge@500startups,alfred-artificial-intelligence-driven-concierge,2015,500startups,
algolia@y combinator,algolia,2014,y combinator,"Julien Lemoine, Nicolas Dessaigne"
algoriz@y combinator,algoriz,2017,y combinator,Soraya Taghavi
all-virtuous@500startups,all-virtuous,2017,500startups,Enoch Hwande
almabase@500startups,almabase,2016,500startups,"Kalyan Varma, Srihari Maneru"
alphaflow@y combinator,alphaflow,2016,y combinator,Ray Sturm
alto@NFX,alto,2016,NFX,"Dror Kalisky, Moshe Gaon, Yoav Gaon"
alumnify@500startups,alumnify,2015,500startups,"AJ Agrawal, Eghosa Aihie"
amberbox@y combinator,amberbox,2016,y combinator,James Popper
ambition-inc@y combinator,ambition-inc,2014,y combinator,"Brian Trautschold, Jared Houghton, Travis Truett, Wes Kendall"
amiato@y combinator,amiato,2012,y combinator,"Mehul A. Shah, Nathan Binkert, Stavros Harizopoulos"
amicus@y combinator,amicus,2012,y combinator,Seth Bannon
amper-technologies@TheAlchemistAccelerator,amper-technologies,2016,TheAlchemistAccelerator,"Akshat Thirani, Philip House, Sachin Lal"
ample@500startups,ample,2016,500startups,Connor Young
amplitude@y combinator,amplitude,2012,y combinator,"Curtis Liu, Spenser Skates"
amulyte@y combinator,amulyte,2013,y combinator,"Jaclyn Konzelmann, Perry Haldenby"
angelcam@500startups,angelcam,2014,500startups,"Adam Herout, Peter Ocasek, Robert Prokes"
anjuna@y combinator,anjuna,2018,y combinator,"Ayal Yogev, Ryan Shambaugh, Yan Michalevsky"
anyadir-education@500startups,anyadir-education,2013,500startups,"Duleep Deosthale, Manish Katyan"
anyroad@NFX,anyroad,2015,NFX,"Daniel Yaffe, Jonathan Yaffe"
anyvite@y combinator,anyvite,2008,y combinator,"Dan Morin, Jeff Morin"
anywhere-fm@y combinator,anywhere-fm,2007,y combinator,"Anson Tsai, Luxiou Chen, Sachin Rekhi"
qmerce@UpwestLabs,qmerce,2013,UpwestLabs,"Daniel Zadok, Edi Dubinin, Moti Cohen"
meteor-development@y combinator,meteor-development,2011,y combinator,"Geoff Schmidt, Matt DeBergalis, Nick Martin"
zenprospect@y combinator,zenprospect,2016,y combinator,"Ray Li, Roy Chung, Tim Zheng"
apollo-shield@y combinator,apollo-shield,2016,y combinator,"Gilad Beeri, Nimo Shkedy"
apozy@y combinator,apozy,2017,y combinator,"Erhan Justice, Rick Deacon"
appbistro@i/oventures,appbistro,2010,i/oventures,"Nalin Mittal, Ryan Merket"
appcanary@y combinator,appcanary,2015,y combinator,"Max Veytsman, Phillip MendonÏ±åa-Vieira"
appcubator@y combinator,appcubator,2013,y combinator,Karan Sikka
appfuel@BoostVC,appfuel,2013,BoostVC,"Andrew Boos, Alfred Kam, Rex Kim"
searchman@500startups,searchman,2011,500startups,"Naoki Shibata, Niren Hiro"
appharbor@y combinator,appharbor,2011,y combinator,"Michael Friis, Rune Sorensen, Troels Thomsen"
apprats@i/oventures,apprats,2010,i/oventures,"Charlene Kuperstein, Ryan Moriarty"
appslingr@TheAlchemistAccelerator,appslingr,2013,TheAlchemistAccelerator,"Michael Christopher, Nick Chadwick"
appsocially@500startups,appsocially,2013,500startups,"Alex Miller, Atsushi Nagase, Yusuke Takahashi"
appsperse@i/oventures,appsperse,2012,i/oventures,Matt Farnell
appthegame@i/oventures,appthegame,2012,i/oventures,"Matthew Himelstein, Michael Ferguson"
apptimize@y combinator,apptimize,2013,y combinator,"Jeremy Orlow, Nancy Hua"
apptuto@500startups,apptuto,2015,500startups,Nicholas Cooper
appzen@500startups,appzen,2014,500startups,"Anant Kale, Kunal Verma"
aptdeco@y combinator,aptdeco,2014,y combinator,"Kalam Dennis, Reham Fagiri"
aptible@y combinator,aptible,2014,y combinator,"Chas Ballew, Frank Macreery"
navtrac@y combinator,navtrac,2016,y combinator,"John Daniels, Mihail Pivtoraiko, Siddharth Sanan"
arcade-f26a@500startups,arcade-f26a,2016,500startups,"David Cherrie, James McLaren"
regalii@y combinator,regalii,2013,y combinator,"Edrizio De La Cruz, Inigo Rumayor Belausteguigoitia, Juan Jose Maldonado"
ark@y combinator,ark,2012,y combinator,"Donald McChesney, Patrick Riley, Yiming Liu"
arka@500startups,arka,2016,500startups,Phillip Akhzar
armory@y combinator,armory,2017,y combinator,"Ben Mappen, Daniel Odio, Isaac Mosquera"
aros-labs@NFX,aros-labs,2016,NFX,"Alon Getz, Avi Rogalsky, Tomer Cohen"
arrivy@TheAlchemistAccelerator,arrivy,2017,TheAlchemistAccelerator,Soban Hameed
arrowpass@500startups,arrowpass,2016,500startups,"Anjelika Petrochenko, Miro Sarbaev"
artcorgi@500startups,artcorgi,2014,500startups,"Malcolm Collins, Simone Collins"
arthena@y combinator,arthena,2017,y combinator,"Madelaine D'Angelo, Michael D'Angelo"
assemblage@TheAlchemistAccelerator,assemblage,2013,TheAlchemistAccelerator,"Cathrine W. Andersen, Christian Rasmussen"
assembly@y combinator,assembly,2015,y combinator,"Colton Pierson, Jonathan Friedman"
asseta@y combinator,asseta,2013,y combinator,"Adam Wright, Anton Brevde, Danial Afzal, Garrett Beck, Jonathan Pease"
astroprint@500startups,astroprint,2014,500startups,"Daniel Arroyo, Drew Taylor, Joshua White"
athelas@y combinator,athelas,2016,y combinator,Tanay Tandon
atipica@TheAlchemistAccelerator,atipica,2016,TheAlchemistAccelerator,Laura GÏ≤òmez
atlascard@BoostVC,atlascard,2014,BoostVC,"James Schuler, Mickey Costa"
atomwise@y combinator,atomwise,2015,y combinator,"Abraham Heifets, Alexander Levy, Dr. Izhar Wallach"
auctio@500startups,auctio,2016,500startups,Ricardo Ibarra
auctomatic@y combinator,auctomatic,2007,y combinator,"Harjeet Taggar, Kulveer Taggar, Patrick Collison"
audiobeta@y combinator,audiobeta,2006,y combinator,Altay Guvench
gastke@BoostVC,gastke,2013,BoostVC,"Gary Bong, Kevin Bong, Steven Bong"
audm@y combinator,audm,2017,y combinator,"Christian Brink, Ryan Wegner"
aumet@500startups,aumet,2016,500startups,
auro-robotics@y combinator,auro-robotics,2015,y combinator,"Nalin Gupta, Srinivas Reddy"
authy-inc@y combinator,authy-inc,2012,y combinator,"Daniel Palacio, Gleb Chuvpilo"
autohub@y combinator,autohub,2017,y combinator,"Arnaud Douceur, Sam Naimi"
kuhcoon@y combinator,kuhcoon,2015,y combinator,"Andrew Torba, Charles Szymanski"
automatic-com@y combinator,automatic-com,2011,y combinator,"Jerry Jariyasunant, Ram Jayaraman, Thejo Kote"
ava-6@BoostVC,ava-6,2014,BoostVC,"Pieter Doevendans, Skinner Cheng, Thibault Duchemin"
avanoo@500startups,avanoo,2015,500startups,"Daniel Jacobs, Ivan Pasev, Prosper Nwankpa"
avision-robotics@500startups,avision-robotics,2017,500startups,
babylist@500startups,babylist,2012,500startups,Natalie Gordon
babynoggin@TheAlchemistAccelerator,babynoggin,2016,TheAlchemistAccelerator,"Avishaan Sethi, Dr. Jin Lee, j t"
back-4-app-back4app-servicos-digitais-ltda@TheAlchemistAccelerator,back-4-app-back4app-servicos-digitais-ltda,2017,TheAlchemistAccelerator,"Alysson Melo, Davi MacÏ±ódo, George Batschinski"
backand@UpwestLabs,backand,2015,UpwestLabs,"Gal Frenkel, Itay Herskovits, Relly Rivlin"
backerkit@y combinator,backerkit,2012,y combinator,"Maxwell Salzberg, Rosanna Yau"
backlift@y combinator,backlift,2012,y combinator,Cole Krumbholz
backlot-cars@500startups,backlot-cars,2015,500startups,"Fabricio Solanes, Josh Parsons, Justin Davis, Ryan Davis"
backtype@y combinator,backtype,2008,y combinator,"Christopher Golda, Michael Montano"
badger@TheAlchemistAccelerator,badger,2014,TheAlchemistAccelerator,"Aaron Tolson, Gady Pitaru, Steven Benson"
baker-technologies@500startups,baker-technologies,2015,500startups,"David Champion, Joel Milton, Roger Obando"
balanced@y combinator,balanced,2011,y combinator,"Jareau Wade, Mahmoud Abdelkader, Matin Tamizi"
balloon@500startups,balloon,2016,500startups,"Amanda Greenberg, Noah Bornstein"
bankjoy@y combinator,bankjoy,2015,y combinator,"Daniel P, Michael Duncan"
bannerman@y combinator,bannerman,2014,y combinator,Antoine de ChevignÏ±? Jonathan Chin
barn-willow@500startups,barn-willow,2015,500startups,Trisha Roy
baydin-2@500startups,baydin-2,2011,500startups,
bayes-impact@y combinator,bayes-impact,2014,y combinator,"Andrew Jiang, Paul Duan"
beacon-2@y combinator,beacon-2,2014,y combinator,
beatdeck@y combinator,beatdeck,2013,y combinator,"Aaron Peck, Avi Zolty, Josh Mangel"
unmute@y combinator,unmute,2014,y combinator,"Daniel Conrad, Shawn Lewis"
beetailer@y combinator,beetailer,2011,y combinator,Laura GarcÏ±†a
bellabeat@y combinator,bellabeat,2014,y combinator,"Sandro Mur, Urska Srsen"
ben@y combinator,ben,2018,y combinator,"Alex Sismanis, Miguel Kudry"
benchling@y combinator,benchling,2012,y combinator,"Ashutosh Singhal, Cory Li, Sajith Wickramasekara"
benrevo@500startups,benrevo,2017,500startups,Ojas Sitapara
betterview@500startups,betterview,2015,500startups,"Dave Tobias, David Lyman"
bigcontrols@500startups,bigcontrols,2016,500startups,Scott Nelson
aizon@500startups,aizon,2016,500startups,Pep Gubau
bikanta@y combinator,bikanta,2014,y combinator,"Ambika Bumb, Terry Sachlos"
billforward@y combinator,billforward,2014,y combinator,"Ian Saunders, Mark Parry"
billiontoone@y combinator,billiontoone,2017,y combinator,"David Tsao, Oguzhan Atay, Sukrit Silas"
billtrim@500startups,billtrim,2017,500startups,
binaryvr@BoostVC,binaryvr,2015,BoostVC,"Jihun Yu, Jungwoon Park, Kenneth Ryu"
binpress@500startups,binpress,2013,500startups,"Adam Benayoun, Eran Galperin"
biobot-analytics@y combinator,biobot-analytics,2018,y combinator,"Mariana Matus, Newsha Ghaeli"
biographicon@y combinator,biographicon,2007,y combinator,"Daniel Terhorst, Ethan Herdrick"
biomarker-io@500startups,biomarker-io,2017,500startups,Garrett Ruhland
biorender-inc@y combinator,biorender-inc,2018,y combinator,"Katya Shteyn, Ryan Marien, Shiz Aoki"
birdnest@TheAlchemistAccelerator,birdnest,2018,TheAlchemistAccelerator,"Nick Jiang, Ray Choi"
bites@UpwestLabs,bites,2012,UpwestLabs,
bitmovin@y combinator,bitmovin,2015,y combinator,"Christian Timmerer, Christopher Mueller, Stefan Lederer"
bitnami@y combinator,bitnami,2013,y combinator,"Daniel Lopez, Erica Brescia"
bitproof@BoostVC,bitproof,2015,BoostVC,Louison Dumont
bitquick@BoostVC,bitquick,2015,BoostVC,Jad Mubaslat
bitrefill@BoostVC,bitrefill,2015,BoostVC,"Patric Stiller, Sergej Kotliar"
bitwall@BoostVC,bitwall,2013,BoostVC,Nic Meliones
bizzy-2@y combinator,bizzy-2,2015,y combinator,"Chiara McPhee, Jennifer Kessler"
blackdrumm@fbFund,blackdrumm,2008,fbFund,
blavity@500startups,blavity,2016,500startups,"Aaron Samuels, Jeff Nelson, Jonathan Jackson, Morgan DeBaun"
blendspace@ImagineK12,blendspace,2012,ImagineK12,"Amy Lin, Gabriel Cebrian"
blinktrade@BoostVC,blinktrade,2015,BoostVC,Rodrigo Souza
blinq@500startups,blinq,2014,500startups,Yossi Ghinsberg
blitz-esports@y combinator,blitz-esports,2015,y combinator,Rick Ling
blitzz-software@TheAlchemistAccelerator,blitzz-software,2017,TheAlchemistAccelerator,"Keyur Patel, Ramaswamy Sreenivasan"
blockcypher@BoostVC,blockcypher,2014,BoostVC,"Catheryne Nicholson, Matthieu Riou"
blockspring@y combinator,blockspring,2014,y combinator,"Donald Pinkus, Jason Tokoph, Paul Katsen"
stacks@y combinator,stacks,2014,y combinator,"Muneeb Ali, Ryan Shea"
bloomcredit@500startups,bloomcredit,2017,500startups,
bloomapi@y combinator,bloomapi,2017,y combinator,Michael Wasser
bloomboard@ImagineK12,bloomboard,2011,ImagineK12,"Eric Dunn, Jason Lange"
bloomjoy@y combinator,bloomjoy,2018,y combinator,"David J. Phillips, Jason M. Mustian, Robert Trencheny"
bloomthat@y combinator,bloomthat,2013,y combinator,"Chad Powell, David Bladow, Matthew Schwab"
blossom@BoostVC,blossom,2014,BoostVC,Matthew Joseph Martin
blue-frog-gaming@y combinator,blue-frog-gaming,2007,y combinator,Chad Remesch
groovice@NFX,groovice,2015,NFX,"Damian Wolfgram, Scott Willey, Todd Dunning, Wayne McVicker, Weston McVicker"
blueboard@500startups,blueboard,2015,500startups,"Kevin Yip, Taylor Smith"
bluecrew@y combinator,bluecrew,2015,y combinator,"Cooper Newby, Gino Rooney, Michele Casertano"
bluefield-technologies@500startups,bluefield-technologies,2012,500startups,
bluesmart@y combinator,bluesmart,2015,y combinator,"Alejo Verlini, Brian Chen, Diego Saez-Gil, Martin Diz, Tomi Pierucci"
blumio@Highway1,blumio,2016,Highway1,Catherine Liao
blurbiz-media@500startups,blurbiz-media,2016,500startups,
bodyport@y combinator,bodyport,2015,y combinator,"Corey Centen, Sarah Smith"
bohemian-guitars@500startups,bohemian-guitars,2014,500startups,"Adam Lee, Mark Friedman, Shaun Lee"
bombfell@500startups,bombfell,2012,500startups,"Bernie Yoo, Jason Kim, Sarah Lee"
zizinya-web-solutions@500startups,zizinya-web-solutions,2014,500startups,"Brian Moyer, Karthik Balasubramanian"
bonsai-ai@y combinator,bonsai-ai,2016,y combinator,"Matt Brown, Matt Nish"
booktrope@y combinator,booktrope,2015,y combinator,"Andy Roberts, Heather Ludviksson, Katherine Sears, Ken Shear"
boom-technology@y combinator,boom-technology,2016,y combinator,"Blake Scholl, Joe Wilding, Joshua Krall"
boon-2@500startups,boon-2,2017,500startups,"Bill Mackay, Dakota Younger, Gary Epper"
boostable@y combinator,boostable,2014,y combinator,"Alexander Chang, Selcuk Atli"
boosted-boards@y combinator,boosted-boards,2012,y combinator,"John Ulmen, Matthew Tran, Sanjay Dastoor"
bop-fm@y combinator,bop-fm,2013,y combinator,"Shehzad Daredia, Stefan Gomez"
bottlestonight@500startups,bottlestonight,2016,500startups,"John Rushworth, Steven Templeman"
bountii@y combinator,bountii,2007,y combinator,"John Puskarich, Samir Meghani"
bountyhunter@500startups,bountyhunter,2013,500startups,"Hana J. Chang, Roxman Yang"
boxc@500startups,boxc,2013,500startups,"Chad Schofield, David Kanel, Fei Gao, Justin Pope, Massimo Pakula, Michael Pakula, Nicholas Ni, Ravi Kotichintala"
brandboards@500startups,brandboards,2011,500startups,Tim Schoen
breaker@y combinator,breaker,2017,y combinator,"Erik Berlin, Leah Culver"
brewpublik-2@500startups,brewpublik-2,2016,500startups,"Charlie Mulligan, David Allen, Samantha August, Zach Jamison"
bridge@y combinator,bridge,2011,y combinator,Roger Jin
lexspot@y combinator,lexspot,2011,y combinator,"Chris Shaw, Forrest Blount, Romish Badani"
bright@y combinator,bright,2015,y combinator,"Jonah Greenberger, Pablo Castellanos"
trellis@NFX,trellis,2016,NFX,"Andreas Zoellner, T.J. Duane"
brightfunnel@TheAlchemistAccelerator,brightfunnel,2013,TheAlchemistAccelerator,"Nadim Hossain, Nisheeth Ranjan, Ranjan Bagchi"
brightloop@ImagineK12,brightloop,2014,ImagineK12,"Ben Rabidou, Boris Taratutin, Molly Levitt"
brightnest@500startups,brightnest,2011,500startups,"Allen Shulman, Justin Anthony"
browsarity@y combinator,browsarity,2010,y combinator,
bstow@500startups,bstow,2016,500startups,
btcjam@500startups,btcjam,2013,500startups,"Celso Pitta, Vidal Venegas"
buildscience@y combinator,buildscience,2015,y combinator,"Jaimal Soni, Xitij Ritesh Patel"
